rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
,Cyborg Skeleton Rogue,15,Bengal Cat,Tech Coat,Black,Solar Staff,15,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/15.png,Arcanist EyesTeethFlesh
,Red Wizard,16,,Blue Big Buckle,Black,,16,4,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/16.png,Sorcerer Alessar of the Moors
,GFunk Head,17,Merlin's Monkey,Gfunk,Black,Wizard's Pipe,17,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/17.png,Master Ape Gfunk
,Fiskantes,18,,Card Magician,Black,Ace in the Hole,18,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/18.png,Cartomancer Fiskantes
,GFunk Head,19,White Dog,Cheetah Print,Black,Wizard's Pipe,19,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/19.png,Master of Spots Hunter
,Joey Billboard,20,Forever Bat,Punker,Black,Thor's Wrath: the Lightning Spell,20,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/20.png,Punk Rock Arcanist Joey
,Loopify,21,Ember Frog,Loopify,Black,Jinx Staff,21,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/21.png,Loop Master Loopify
,Silver Skeleton,22,Albino Rat,Silver Skeleton,Black,Salamander's Tongue: the Fire Spell,22,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/22.png,Necromancer ManuelDaMoon
,Marlo,23,Pink Butterfly,Pink Cosmic,Black,Lunar Staff,23,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/23.png,Alien Arcanist Marlo of the Cosmos
,Philosopher,24,Golden Viper,Aristocrat Purple,Black,Hobgoblin's Flame: the Wayward Spell,24,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/24.png,Philosopher Nietzsche of the Mountain
,Gold Skeleton,25,,Gold Skeleton,Black,Golden Soul Reaper,25,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/25.png,Necromancer Nikita 
,Fortune Seeker,26,Green Asp,Brown Tunic,Black,Hobgoblin's Flame: the Wayward Spell,26,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/26.png,Fortune Master Oxelrod
,Great Old One,27,Emerald Slime,White Tunic,Black,Lunar Staff,27,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/27.png,Great Old One 0xmon
,Fur Gnome,28,Blue Rat,Skipper,Black,A Big Magic Stick,28,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/28.png,The Great and Magical UserGnome
,LeggoGreggo,29,Astral Snail,Skeleton Flame,Black,Phosphorus Spear,29,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/29.png,Necromancer LeggoMyGreggo
,Great Old One,30,Merlin's Monkey,Brown Tunic,Black,Bag of Tricks,30,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/30.png,Great Old One Andolini
Rune of Mars,Faustian,31,,Red Coveralls,Green,Passion Potion,31,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/31.png,Sorcerer George of the Reach
Rune of Air,Coven Sister,32,Red Mamba,Orange Caped Traveller,Green,Solar Staff,32,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/32.png,Adept Carly of the Wood
Rune of Omega,Olympian,33,,White Wraith,Blue,Thor's Wrath: the Lightning Spell,33,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/33.png,Bringer of Thunder
Rune of Steel,Hag,34,Emerald Slime,Green Cloak,Blue,Shaman's Peyote,34,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/34.png,Druid Rowena of the Wold
,Yellow Wizard,35,,Formal Suit,Black,Lucky Horseshoe,35,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/35.png,Archmagus Casper of the Hall
,Durm and Strang,36,,Green Elven Cloak,Black,Sphinx's Hourglass,36,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/36.png,Chronomancer Gunthor of the Circle
Rune of Air,Dapper Arcanist,37,Emerald Slime,Swashbuckling Gear,Green,The Bone Stave,37,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/37.png,Holy Monk Alvaro of the Sea
,Professor,38,,Green Scholar,Black,Key of the 7th Realm,38,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/38.png,Sorcerer Zaros of the Tower
,Wildman,39,Emerald Slime,White Wraith,Blue,The Midas Rod,39,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/39.png,Battle Mage Wolfram out of the Void
,Shaolin,40,Sapphire Slime,Green Big Buckle,Green,Kelpie's Fury: the Water Spell,40,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/40.png,Hydromancer Feng of the Plains
Rune of Sun,Coven Sister,41,Sun Cat,Desert Wear,Black,Soul Harvester,41,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/41.png,Arcanist Atlanta of the Palms
,Death Eater,42,Red Mamba,Ice Robe,Black,Soul Harvester,42,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/42.png,Cosmic Mage Voidoth of the Ether
,Hermit,43,Plague Rat,Red Cleric,Blue,Book of Magic,43,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/43.png,Enchanter Zelroth of the Mount
,Purple Wizard,44,,Blue Big Buckle,Black,Guillaume's Broom,44,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/44.png,Wild Mage Lumos of the Hollow
,Woodland Shapeshifter,45,Sun Cat,Cosmic Cardigan,Blue,Book of Magic,45,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/45.png,Runecaster Ratko of the Cosmos
Rune of Venus,Witch,46,Albino Rat,Orange Caped Traveller,Green,Kelpie's Fury: the Water Spell,46,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/46.png,Witch Gorgana of the Villa
Rune of Uranus,Blue Wizard,47,Giant Ladybug,Orange Hip Scarf ,Green,Sphinx's Hourglass,47,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/47.png,Chronomancer George of Dreams
Rune of Air,Bard,48,Plague Rat,Dapper Formal,Blue,Siren's Harp,48,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/48.png,Bard Finch of the Keep
,Professor,49,,Orange Scholar,Black,Peace Staff,49,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/49.png,Magus Ixar of the Sacred Pillars
Rune of Mercury,Stranger,50,Plague Rat,Orange Caped Traveller,Black,Garnet Staff,50,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/50.png,Shaman Alizam of the Riviera
,Yellow Wizard,51,,Aristocrat Green,Black,Fairy Glamour: the Dazzle Spell,51,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/51.png,Cleric Orpheus of the Citadel
,Lycanthrope,52,,Yellow Cleric,Blue,Staff,52,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/52.png,Runecaster Eric of the Keep
,Purple Wizard,53,,Robe of Shadow,Black,Staff,53,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/53.png,Adept Milo from the Shadow
Rune of Infinity,Botanic Master,54,Sapphire Slime,Blue Hip Pouch,Green,Caduceus,54,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/54.png,Druid Mina of the Forest
Rune of Down,Kobold,55,Skramps,Rainbow Suit,Green,Gorgon's Eye,55,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/55.png,Ghost Eater Kobold of the Technochrome
Rune of Brimstone,Kelt,56,Field Dog,Green Coveralls,Green,Ruby Staff,56,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/56.png,Archmagus Baird of the Valley
Rune of Fire,Corvid,57,Red Mamba,Ice Robe,Green,Crystal Skull,57,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/57.png,Void Disciple Magpie of the Gnostics
,Wild Woman,58,Giant Ladybug,Green Hip Pouch,Blue,Red Mushroom,58,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/58.png,Magus Hestia of the Wild
,Olympian,59,,Aristocrat Blue,Black,Guillaume's Broom,59,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/59.png,Wild Mage Ratko of the Villa
,Seer,60,Blue Rat,Blue Coveralls,Black,Harmony Staff,60,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/60.png,Alchemist Soya of the Hollow
Rune of Brass,Dark Sister,61,Blue Rat,Cosmic Cardigan,Red,Fairy Glamour: the Dazzle Spell,61,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/61.png,Arch-Magician Leah of the Platonic Shadow
Rune of Down,Hue Master,62,Golden Toad,Shoulder Cape Green,Blue,Joy Staff,62,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/62.png, Hue of Elysium
Rune of Infinity,Kempo,63,Jewled Hummingbird,Rose Yoga,Blue,Red Mushroom,63,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/63.png,Magus Zhan of the Steppe
Rune of Earth,Sandman,64,Topaz Slime,Robe of Shadow,Blue,Key of the 7th Realm,64,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/64.png, Amir from the Abyss
Rune of Pluto,"Master of Wood, Water, and Hill",65,Dirt Rabbit,Red Cleric,Blue,Dryad's Ear: the Plant Spell,65,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/65.png,Battle Mage Angus of Elysium
,White Wizard,66,Sun Cat,Yellow Elven Cloak,Red,Dryad's Ear: the Plant Spell,66,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/66.png,Hedge Wizard Soya of the Thorn
,Prophet,67,Blue Rat,Green Lined Coveralls,Blue,Egg of Unknown Beast,67,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/67.png, Apollo of the Heath
Rune of Saturn,Brown Wizard,68,Field Dog,Grey Tunic,Black,A Big Magic Stick,68,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/68.png,Wild Mage Soya of the Gnostics
Rune of Jupiter,Labyrinthian,69,Great Owl,Orange Caped Traveller,Green,Mug of Ale,69,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/69.png,Scryer Aleister of the Mountain
Rune of Air,Brown Wizard,70,Dirt Rabbit,Wicker Wear,Blue,Guillaume's Broom,70,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/70.png,Archmagus Oberon of the Marsh
Rune of Venus,Red Priestess,71,Fox Trickster,Purple Cloak,Red,Jinx Staff,71,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/71.png,Enchanter Ash of the Forest
,9272ETH,72,Forever Bat,SupaFly,Black,Wizard's Pipe,72,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/72.png,Supa Wizz 9272
Rune of Saturn,Gruffling,73,Field Dog,Poncho,Blue,A Big Magic Stick,73,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/73.png,Battle Mage Devin of the Dunes
,Anuran,74,Albino Rat,Aristocrat Green,Blue,Goblet of Immortality,74,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/74.png,Runecaster Gee of the Citadel
Rune of Mercury,"Master of Wood, Water, and Hill",75,White Dog,Green Hip Scarf,Black,Ruby Staff,75,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/75.png,Dwarzgarth of The Hills
Rune of Uranus,Black Mage,76,Golden Viper,Jester Diamonds,Blue,Wizard's Pipe,76,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/76.png,Wise Sam
Rune of Water,Green Wizard,77,Emerald Slime,Green Caped Traveller,Blue,Green Mushroom,77,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/77.png,Bob the Bearded
Rune of Lime,Polar Shapeshifter,78,Albino Rat,White Coveralls,Green,Eternal Rose,78,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/78.png,Battle Mage Malthus of the Plains
Rune of Venus,Floral Master,79,Dirt Rabbit,Green Cloak,Green,Eternal Rose,79,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/79.png,Catherine The Great 
,Punjabi,80,Emerald Slime,Poncho,Blue,Grim Reaper's Breath: the Death Spell,80,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/80.png,Void Disciple Zafar of the Dunes
Rune of Lime,Mandinka,81,Great Owl,Tech Coat,Green,Fairy Glamour: the Dazzle Spell,81,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/81.png,Evoker Otto of the Realm
Rune of Earth,Olympian,82,Bliss Cat,Vest Green,Blue,Vile of Virgin's Blood,82,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/82.png,Shadow Mage Dante of the Valley
Rune of Air,White Wizard,83,Psychic Rabbit,Cape in the Wind,Red,Wizard's Pipe,83,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/83.png,Archmagus Alessar of the Tower
,Gruffling,84,,Brown Coveralls,Black,Nightshade Potion,84,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/84.png,Alchemist Ratko of the Steppe
Rune of Air,Floral Master,85,Great Owl,Green Big Buckle,Green,Book of Magic,85,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/85.png,Enchanter Daphne of the Forest
,Lycanthrope,86,,Desert Wear,Black,Lucky Horseshoe,86,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/86.png,Battle Mage Khudalf of the Desert
,Bard,87,,Formal Suit,Black,Staff,87,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/87.png,Shaman Mace of the Citadel
Rune of Brimstone,Hag,88,Plague Rat,Tundra Wear,Black,A dumb stick...,88,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/88.png,Shaman Lamia of the Berg
,Red Priestess,89,Jewled Hummingbird,Green Hip Pouch,Green,Soul Harvester,89,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/89.png,Ghost Eater Layla of the Marsh
,Swashbuckler,90,Astral Snail,SupaFly,Black,Siren's Bell,90,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/90.png,Spellsinger Brutus of the Citadel
,Olympian,91,,Brown Coveralls,Blue,Fairy Glamour: the Dazzle Spell,91,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/91.png,Battle Mage Flynn of the Road
Rune of Down,Corvid,92,Sun Cat,Grey Tunic,Red,Zephyr's Laugh: the Wind Spell,92,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/92.png,Sky Master Jagger of the Gnostics
Rune of Lime,Huntress,93,Red Mamba,Green Hip Scarf,Black,A dumb stick...,93,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/93.png,Druid Diana of Avalon
,Punjabi,94,Sapphire Slime,Orange Hip Scarf ,Black,Red Mushroom,94,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/94.png,Sorcerer Jahid of the Mist
Rune of Lime,Green Wizard,95,Merlin's Monkey,Grey Tunic,Black,Key of the 7th Realm,95,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/95.png,Sorcerer Soya of the Psychic Leap
,Durm and Strang,96,Sun Cat,Green Elven Cloak,Black,Crystal Ball,96,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/96.png,Clairvoyant Tundror of the Toadstools
,Prophet,97,,Yellow Cleric,Blue,Shaman's Peyote,97,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/97.png,Archmagus Apollo of the Sacred Pillars
Rune of Water,Pumpkin Head,98,Ember Frog,Grey Tunic,Black,Siren's Bell,98,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/98.png,Bard Gourdon of the Platonic Shadow
,White Wizard,99,Merlin's Monkey,Overcoat,Blue,Candle of Intuition,99,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/99.png,Archmagus Jeldor of the Hills
,Fungus,100,Red Mamba,Red Suit,Blue,Staff,100,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/100.png,Arcanist Porto of the Cold
,Astral Arcanist,101,Plague Rat,Brown Tunic,Blue,Passion Potion,101,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/101.png,Archmagus Milton 
Rune of Pluto,Polar Shapeshifter,102,Albino Rat,Overcoat,Green,Candle of Intuition,102,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/102.png,Battle Mage Cassius of the Steppe
Rune of Cinnabar,Empress,103,Ember Frog,Blue Coveralls,Black,Red Mushroom,103,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/103.png, Sondra of the Wood
Rune of Lime,Corvid,104,Albino Rat,Orange Harem Pants,Black,Passion Potion,104,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/104.png,Sky Master JackDaw of the Sun
Rune of Saturn,Crone,105,Astral Snail,Yellow Cleric,Blue,Shaman's Peyote,105,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/105.png,Shaman Ivy of Elysium
,Skylord,106,,Orange Harem Pants,Blue,Green Mushroom,106,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/106.png, Zubin of the Rock
Rune of Mars,Arcadian Master,107,Fox Trickster,Overcoat,Red,Courage Staff,107,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/107.png,Adept David of the Marsh
,Djinn,108,Swamp Bullfrog,Green Coveralls,Black,Bag of Tricks,108,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/108.png,Artificer Nadeem of the Hollow
,Wild Woman,109,Red Mamba,Green Big Buckle,Blue,Phoenix Feather,109,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/109.png,Enchanter Lucinda of the Moors
,Dapper Arcanist,110,,Green Coveralls,Blue,Peace Staff,110,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/110.png,Arch-Magician Jasper of Arcadia
Rune of Cinnabar,Swashbuckler,111,Plague Rat,Dapper Formal,Blue,,111,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/111.png,Battle Mage Durm of the Bastion
,Medicine Man,112,Plague Rat,Red Cleric,Blue,The Orb Staff,112,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/112.png,Artificer Axel of the Valley
